,0
0,Louisiana
1,Massachusetts
2,Rhode Island
3,Illinois
4,Montana
5,New York
6,Minnesota
7,Nebraska
8,Colorado
9,Nevada
10,Iowa
11,Wyoming
12,New Mexico
13,Florida
14,Alaska
15,South Carolina
16,Oklahoma
17,Ohio
18,South Dakota
19,California
20,Connecticut
21,North Carolina
22,Texas
23,Indiana
24,Tennessee
25,Virginia
26,Mississippi
27,Kansas
28,Missouri
29,Vermont
30,New Hampshire
31,West Virginia
32,Washington
33,Delaware
34,Maryland
35,Utah
36,Alabama
37,Kentucky
38,Idaho
39,Georgia
40,Wisconsin
41,Michigan
42,New Jersey
43,Pennsylvania
44,Hawaii
45,North Dakota
46,Oregon
